"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"AssociationsTâcheRisque","FR","Titre","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","Title","src.[Title]"
"AssociationsTâcheRisque","FR","TypeRelation","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","RelationshipType","src.[RelationshipType]"
"AxesStratégiques","FR","AxeStratégiqueEntrepriseEstActif","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverIsActive","src.[BusinessDriverIsActive]"
"AxesStratégiques","FR","DateCréationAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","CreatedDate","src.[CreatedDate]"
"AxesStratégiques","FR","DateModificationAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ModifiedDate","src.[ModifiedDate]"
"AxesStratégiques","FR","DescriptionAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverDescription","src.[BusinessDriverDescription]"
"AxesStratégiques","FR","DescriptionImpactAucun","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionNone","src.[ImpactDescriptionNone]"
"AxesStratégiques","FR","DescriptionImpactExtrême","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionExtreme","src.[ImpactDescriptionExtreme]"
"AxesStratégiques","FR","DescriptionImpactFaible","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionLow","src.[ImpactDescriptionLow]"
"AxesStratégiques","FR","DescriptionImpactFort","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionStrong","src.[ImpactDescriptionStrong]"
"AxesStratégiques","FR","DescriptionImpactModéré","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ImpactDescriptionModerate","src.[ImpactDescriptionModerate]"
"AxesStratégiques","FR","IdAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverUID","src.[BusinessDriverUID]"
"AxesStratégiques","FR","IdRessourceCréation","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","CreatedByResourceUID","src.[CreatedByResourceUID]"
"AxesStratégiques","FR","IdRessourceModification","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ModifiedByResourceUID","src.[ModifiedByResourceUID]"
"AxesStratégiques","FR","NomAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverName","src.[BusinessDriverName]"
"AxesStratégiques","FR","NomRessourceCréation","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","CreatedByResourceName","src.[CreatedByResourceName]"
"AxesStratégiques","FR","NomRessourceModification","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ModifiedByResourceName","src.[ModifiedByResourceName]"
"AxesStratégiquesDéfinitionPriorités","FR","IdAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmPrioritizationDriver_UserView","BusinessDriverUID","src.[BusinessDriverUID]"
"AxesStratégiquesDéfinitionPriorités","FR","IdDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritizationDriver_UserView","PrioritizationUID","src.[PrioritizationUID]"
"AxesStratégiquesDéfinitionPriorités","FR","NomAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmPrioritizationDriver_UserView","BusinessDriverName","src.[BusinessDriverName]"
"AxesStratégiquesDéfinitionPriorités","FR","NomDéfinitionPriorités","0","MAPPED","pjrep","MSP_EpmPrioritizationDriver_UserView","PrioritizationName","src.[PrioritizationName]"
"AxesStratégiquesDéfinitionPriorités","FR","PrioritéAxeStratégiqueEntreprise","0","MAPPED","pjrep","MSP_EpmPrioritizationDriver_UserView","BusinessDriverPriority","src.[BusinessDriverPriority]"
"BusinessDriverDepartments","EN","BusinessDriverId","0","MAPPED","pjrep","MSP_EpmBusinessDriverDepartment_UserView","BusinessDriverUID","src.[BusinessDriverUID]"
"BusinessDriverDepartments","EN","BusinessDriverName","0","MAPPED","pjrep","MSP_EpmBusinessDriverDepartment_UserView","BusinessDriverName","src.[BusinessDriverName]"
"BusinessDriverDepartments","EN","DepartmentId","0","MAPPED","pjrep","MSP_EpmBusinessDriverDepartment_UserView","DepartmentUID","src.[DepartmentUID]"
"BusinessDriverDepartments","EN","DepartmentName","0","MAPPED","pjrep","MSP_EpmBusinessDriverDepartment_UserView","DepartmentName","src.[DepartmentName]"
"BusinessDrivers","EN","BusinessDriverCreatedDate","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","CreatedDate","src.[CreatedDate]"
"BusinessDrivers","EN","BusinessDriverDescription","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverDescription","src.[BusinessDriverDescription]"
"BusinessDrivers","EN","BusinessDriverId","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverUID","src.[BusinessDriverUID]"
"BusinessDrivers","EN","BusinessDriverIsActive","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverIsActive","src.[BusinessDriverIsActive]"
"BusinessDrivers","EN","BusinessDriverModifiedDate","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","ModifiedDate","src.[ModifiedDate]"
"BusinessDrivers","EN","BusinessDriverName","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","BusinessDriverName","src.[BusinessDriverName]"
"BusinessDrivers","EN","CreatedByResourceId","0","MAPPED","pjrep","MSP_EpmBusinessDriver_UserView","CreatedByResourceUID","src.[CreatedByResourceUID]"
